occasion,id,cycle
"Sobota 9. týdne 2",ordinary_time_9_saturday,2
"Pondělí 10. týdne 2",ordinary_time_10_monday,2
"Úterý 10. týdne 2",ordinary_time_10_tuesday,2
"Středa 10. týdne 2",ordinary_time_10_wednesday,2
"Čtvrtek 10. týdne 2",ordinary_time_10_thursday,2
"Pátek 10. týdne 2",ordinary_time_10_friday,2
"Sobota 10. týdne 2",ordinary_time_10_saturday,2
"Pondělí 11. týdne 2",ordinary_time_11_monday,2
"Úterý 11. týdne 2",ordinary_time_11_tuesday,2
"Středa 11. týdne 2",ordinary_time_11_wednesday,2
"Čtvrtek 11. týdne 2",ordinary_time_11_thursday,2
"Pátek 11. týdne 2",ordinary_time_11_friday,2
"Sobota 11. týdne 2",ordinary_time_11_saturday,2
"Pondělí 12. týdne 2",ordinary_time_12_monday,2
"Úterý 12. týdne 2",ordinary_time_12_tuesday,2
"Středa 12. týdne 2",ordinary_time_12_wednesday,2
"Sobota 12. týdne 2",ordinary_time_12_saturday,2
"Pondělí 13. týdne 2",ordinary_time_13_monday,2
"Úterý 13. týdne 2",ordinary_time_13_tuesday,2
"Středa 13. týdne 2",ordinary_time_13_wednesday,2
"Čtvrtek 13. týdne 2",ordinary_time_13_thursday,2
"Pátek 13. týdne 2",ordinary_time_13_friday,2
"Pondělí 14. týdne 2",ordinary_time_14_monday,2
"Úterý 14. týdne 2",ordinary_time_14_tuesday,2
"Středa 14. týdne 2",ordinary_time_14_wednesday,2
"Čtvrtek 14. týdne 2",ordinary_time_14_thursday,2
"Pátek 14. týdne 2",ordinary_time_14_friday,2
"Úterý 15. týdne 2",ordinary_time_15_tuesday,2
"Středa 15. týdne 2",ordinary_time_15_wednesday,2
"Čtvrtek 15. týdne 2",ordinary_time_15_thursday,2
"Pátek 15. týdne 2",ordinary_time_15_friday,2
"Sobota 15. týdne 2",ordinary_time_15_saturday,2
"Pondělí 16. týdne 2",ordinary_time_16_monday,2
"Úterý 16. týdne 2",ordinary_time_16_tuesday,2
"Středa 16. týdne 2",ordinary_time_16_wednesday,2
"Čtvrtek 16. týdne 2",ordinary_time_16_thursday,2
"Pondělí 17. týdne 2",ordinary_time_17_monday,2
"Pondělí 20. týdne 2",ordinary_time_20_monday,2
"Úterý 17. týdne 2",ordinary_time_17_tuesday,2
"Středa 17. týdne 2",ordinary_time_17_wednesday,2
"Čtvrtek 17. týdne 2",ordinary_time_17_thursday,2
"Pátek 17. týdne 2",ordinary_time_17_friday,2
"Sobota 17. týdne 2",ordinary_time_17_saturday,2
"Pondělí 18. týdne 2",ordinary_time_18_monday,2
"Čtvrtek 18. týdne 2",ordinary_time_18_thursday,2
"Čtvrtek 20. týdne 2",ordinary_time_20_thursday,2
"Sobota 19. týdne 2",ordinary_time_19_saturday,2
"Pátek 18. týdne 2",ordinary_time_18_friday,2
"Sobota 18. týdne 2",ordinary_time_18_saturday,2
"Pondělí 19. týdne 2",ordinary_time_19_monday,2
"Úterý 19. týdne 2",ordinary_time_19_tuesday,2
"Pátek 33. týdne 2",ordinary_time_33_friday,2
"Středa 19. týdne 2",ordinary_time_19_wednesday,2
"Čtvrtek 19. týdne 2",ordinary_time_19_thursday,2
"Pátek 19. týdne 2",ordinary_time_19_friday,2
"Úterý 20. týdne 2",ordinary_time_20_tuesday,2
"Pátek 20. týdne 2",ordinary_time_20_friday,2
"Pondělí 21. týdne 2",ordinary_time_21_monday,2
"Středa 21. týdne 2",ordinary_time_21_wednesday,2
"Čtvrtek 21. týdne 2",ordinary_time_21_thursday,2
"Pátek 21. týdne 2",ordinary_time_21_friday,2
"Sobota 21. týdne 2",ordinary_time_21_saturday,2
"Pondělí 22. týdne 2",ordinary_time_22_monday,2
"Úterý 22. týdne 2",ordinary_time_22_tuesday,2
"Středa 22. týdne 2",ordinary_time_22_wednesday,2
"Čtvrtek 22. týdne 2",ordinary_time_22_thursday,2
"Pátek 22. týdne 2",ordinary_time_22_friday,2
"Sobota 22. týdne 2",ordinary_time_22_saturday,2
"Pondělí 23. týdne 2",ordinary_time_23_monday,2
"Středa 23. týdne 2",ordinary_time_23_wednesday,2
"Čtvrtek 23. týdne 2",ordinary_time_23_thursday,2
"Pátek 23. týdne 2",ordinary_time_23_friday,2
"Sobota 23. týdne 2",ordinary_time_23_saturday,2
"Středa 24. týdne 2",ordinary_time_24_wednesday,2
"Čtvrtek 24. týdne 2",ordinary_time_24_thursday,2
"Pátek 24. týdne 2",ordinary_time_24_friday,2
"Sobota 24. týdne 2",ordinary_time_24_saturday,2
"Úterý 25. týdne 2",ordinary_time_25_tuesday,2
"Středa 25. týdne 2",ordinary_time_25_wednesday,2
"Čtvrtek 25. týdne 2",ordinary_time_25_thursday,2
"Sobota 25. týdne 2",ordinary_time_25_saturday,2
"Pátek 25. týdne 2",ordinary_time_25_friday,2
"Pondělí 26. týdne 2",ordinary_time_26_monday,2
"Úterý 26. týdne 2",ordinary_time_26_tuesday,2
"Středa 26. týdne 2",ordinary_time_26_wednesday,2
"Čtvrtek 26. týdne 2",ordinary_time_26_thursday,2
"Pátek 26. týdne 2",ordinary_time_26_friday,2
"Sobota 26. týdne 2",ordinary_time_26_saturday,2
"Pondělí 27. týdne 2",ordinary_time_27_monday,2
"Úterý 27. týdne 2",ordinary_time_27_tuesday,2
"Středa 27. týdne 2",ordinary_time_27_wednesday,2
"Pátek 27. týdne 2",ordinary_time_27_friday,2
"Sobota 27. týdne 2",ordinary_time_27_saturday,2
"Úterý 28. týdne 2",ordinary_time_28_tuesday,2
"Čtvrtek 28. týdne 2",ordinary_time_28_thursday,2
"Pátek 28. týdne 2",ordinary_time_28_friday,2
"Sobota 28. týdne 2",ordinary_time_28_saturday,2
"Středa 29. týdne 2",ordinary_time_29_wednesday,2
"Čtvrtek 29. týdne 2",ordinary_time_29_thursday,2
"Sobota 29. týdne 2",ordinary_time_29_saturday,2
"Pátek 31. týdne 2",ordinary_time_31_friday,2
"Středa 30. týdne 2",ordinary_time_30_wednesday,2
"Sobota 30. týdne 2",ordinary_time_30_saturday,2
"Úterý 31. týdne 2",ordinary_time_31_tuesday,2
"Středa 31. týdne 2",ordinary_time_31_wednesday,2
"Čtvrtek 31. týdne 2",ordinary_time_31_thursday,2
"Sobota 31. týdne 2",ordinary_time_31_saturday,2
"Úterý 32. týdne 2",ordinary_time_32_tuesday,2
"Čtvrtek 32. týdne 2",ordinary_time_32_thursday,2
"Pátek 32. týdne 2",ordinary_time_32_friday,2
"Středa 33. týdne 2",ordinary_time_33_wednesday,2
"Čtvrtek 33. týdne 2",ordinary_time_33_thursday,2
"Středa 34. týdne 2",ordinary_time_34_wednesday,2
"Pátek 34. týdne 2",ordinary_time_34_friday,2
"Sobota 34. týdne 2",ordinary_time_34_saturday,2
